"","wm_m1_acus.cases","wm_m1_acus","wm_m1_acus"
"94",5.7445892446213,5.39933814916059,5.66865916563304
"95",5.72605251540668,5.56611974308964,5.47583799020588
"96",5.66823978101063,5.63025748587687,5.40139413114164
"97",5.6900121568263,5.55983121277981,5.46324675792232
"98",5.65421119178415,5.46480849632337,5.5784265292413
"99",5.66708680866569,5.46358039136097,5.66479670051754
"100",5.59639502197747,5.60143634632518,5.70316938499516
"101",5.55183309255335,5.52608481208357,5.7820497294026
"102",5.60018364830687,5.61838128053487,5.73075693419726
"103",5.59309277155081,5.53899375172825,5.7123210372778
"104",5.63158898443971,5.60310635782898,5.78602524861123
"105",5.68643930547206,5.6261194573486,5.63207431666348
"106",5.72731636514707,5.60247567993337,5.6153521108381
"107",5.63030233156064,5.459919360208,5.7491996652091
"108",5.76388986116657,5.55851726444167,5.64504667507247
"109",5.62150040783714,5.6335444452652,5.63949781194065
"110",5.66945928538964,5.62747955782035,5.65152283332857
"111",5.75249939035922,5.70972962516815,5.57919297411097
"112",5.73112758476903,5.6069676743092,5.5997654560557
"113",5.68026252577139,5.73458184354817,5.62089576305363
"114",5.55652921728273,5.66283299947471,5.6475187517198
"115",5.4400000971487,5.649196267948,5.77730750624457
"116",5.52301636502811,5.75133099930391,5.69328676078855
"117",5.61284145731513,5.77921813716509,5.58077993257058
"118",5.76601407205768,5.80565740297866,5.64823397239311
"119",5.88229081204497,5.67667873088065,5.63235903576815
"120",5.85889023338789,5.55194884873549,5.42158920215636
"121",5.68125924813195,5.5751440598726,5.57663432437949
"122",5.76582833074107,5.57074354225764,5.55413044393067
"123",5.49363327077117,5.49125959620801,5.54609287238453
"124",5.43378407055891,5.45187548952317,5.70910775859958
"125",5.56243177089335,5.52375181918751,5.68373124011799
"126",5.49993735493584,5.55287515944778,5.63157934366074
"127",5.54084738802744,5.58289739857971,5.89730994746035
"128",5.47033533436049,5.64908112828345,5.94016934463512
"129",5.38300209360892,5.74056718554884,5.97245181683994
"130",5.4074176802117,5.8708794268661,5.85853015356124
"131",5.50536825272258,5.80864960769612,5.75213990756223
"132",5.51754361207792,6.01380882945473,5.65779755129271
"133",5.7412489389906,6.01263708101967,5.53866529494396
"134",5.83818405339348,5.90336193211154,5.48292646520826
"135",5.83783130720344,5.92548076356895,5.58238970174756
"136",5.77664649973742,5.77090202865134,5.5181797832097
"137",5.76779934568162,5.73621053432116,5.52734473183849
"138",5.7745619503968,5.62596511684838,5.43831096523656
"139",5.75556213868233,5.56241850108268,5.51504285048431
"140",5.66457950472267,5.40172987753231,5.52269725908358
"141",5.64422028565617,5.48578521404223,5.7223775163489
"142",5.46048468921618,5.48642112975621,5.82257425683745
"143",5.49347637081878,5.47282710998186,5.84101905597435
"144",5.54321746701868,5.37355507161309,5.69878039490578
"145",5.4850687337475,5.29414278135465,5.7488775826652
