"","YT.cases","YT","YT"
"184",9297.00402709168,14912.010944873,13947.3491301764
"185",9287.25595799803,14990.2092756886,13983.7509539398
"186",9164.91384557384,15059.833776462,13862.9501282238
"187",8981.28505365106,15087.744182332,13565.6775536992
"188",8803.0310074713,15069.0586786651,13186.7481822523
"189",8684.23016352643,14992.8126788518,12868.8701312393
"190",8656.85430244035,14882.8677982935,12745.0608049971
"191",8703.41956493833,14762.6362864247,12775.4219449411
"192",8777.94871147237,14703.3947298488,12933.1374899117
"193",8847.22828698075,14687.9485411139,13216.1017128048
"194",8889.52443508089,14708.4801987608,13501.9208562638
"195",8908.31997650013,14684.2886685564,13648.1287635659
"196",8923.88214574244,14630.4030442217,13607.4205955684
"197",8932.02471420768,14600.5234407776,13381.9727287349
"198",8918.5846120588,14548.4820027834,13005.3309813723
"199",8872.80854099038,14514.312957216,12616.6660394297
"200",8804.61377348223,14517.1655045182,12377.4606735351
"201",8733.53822160287,14598.5949687619,12306.15037259
"202",8678.99107544211,14677.626981451,12320.870813173
"203",8655.19127855937,14662.1365960998,12346.7490678172
"204",8658.98664935973,14603.4309349077,12350.7758861037
"205",8687.38979110377,14518.417550808,12356.3375981843
"206",8739.63486389246,14512.4029737017,12372.779913759
"207",8809.33531636388,14554.7992229774,12435.8489532684
"208",8864.68549565814,14580.6980165669,12579.217099486
"209",8865.0466447219,14586.4065796,12864.1352523998
"210",8835.13516051813,14497.2257216664,13178.4474985942
"211",8826.40762199104,14337.9506146784,13464.5474115653
"212",8833.3830544364,14139.3889009183,13676.8236648907
"213",8819.38094535659,14031.4667585643,13758.639332591
"214",8770.84694017557,14004.9008369382,13764.9997967916
"215",8720.84172071575,13972.1472435422,13745.4221802594
"216",8684.30832398067,13861.4842631616,13659.5390983805
"217",8655.34603251455,13715.0871992707,13481.8658754385
"218",8630.76873731855,13506.2819655284,13238.2295121339
"219",8604.29754964059,13375.4373544744,12996.6809103223
"220",8573.88430921006,13333.6056678792,12814.1652194468
"221",8517.19040443577,13330.2714690393,12677.9350068955
"222",8429.45301646252,13332.4204204324,12566.7918693475
"223",8351.7430705445,13319.8060490558,12469.445722533
"224",8321.34197774903,13338.3623908879,12408.0263379269
"225",8335.51515279091,13416.302204627,12418.7662211494
"226",8363.03747310433,13515.9463957038,12522.3805134724
"227",8382.7993362519,13674.4811136796,12649.5615915126
"228",8375.00174161728,13829.700286577,12735.2484748805
"229",8332.82459298453,13902.5387939474,12786.4072084752
"230",8278.55949684815,13918.1422420651,12803.9515826562
"231",8238.73306683074,13890.915162463,12823.5076401237
"232",8228.67926762588,13908.1335530789,12920.6238321508
"233",8248.14505490764,13921.146375236,13061.8425081415
"234",8275.54863322481,14019.172322264,13156.5364225922
"235",8274.79989885207,14186.9138297155,13228.4276566327
"236",8234.36443248944,14315.1846389456,13310.5460968638
"237",8197.66427276194,14365.9217389129,13385.052272829
"238",8202.19458923645,14342.4422798292,13456.6449893789
"239",8230.22267935633,14270.8452737374,13477.6539394774
"240",8235.4542253928,14184.7809456522,13424.4162034116
"241",8198.95330158978,14135.8297778498,13276.9696307648
"242",8136.1315346014,14186.3045196759,13037.7461177617
"243",8072.31277244622,14341.1887576397,12830.1981083082
"244",8025.49547461984,14445.5364131549,12701.9226464593
"245",8000.75959606212,14536.527082095,12695.1323976193
"246",8005.1123192828,14494.6383228423,12792.895087623
"247",8042.1632523423,14373.2691358192,12901.4461473396
"248",8102.0654779893,14269.1888568271,12948.1361292738
"249",8177.87101608267,14215.5832604251,13003.2098736589
"250",8288.45107267195,14280.5214621076,13114.3863809877
"251",8445.07420151677,14444.9535497005,13292.0511186402
"252",8613.53671085992,14602.1707662418,13462.8604983779
"253",8755.69792972137,14665.6344785406,13519.0885355166
