"","wm_m2.cases","wm_m2","wm_m2"
"109",15.6148661746435,20.446569513487,14.251016913175
"110",15.7137810726165,20.7174299760172,14.2102008946962
"111",15.7964493784695,20.650079097455,14.1827729938363
"112",15.855067429316,20.4987436917358,14.1792197921346
"113",15.9068717553413,20.5163792227754,14.1774774007313
"114",15.8867923741145,20.5015120212596,14.1673595816082
"115",15.7519286867204,20.3461454011681,14.2391209357961
"116",15.5581900398461,20.2456664843575,14.3316307534177
"117",15.4671088777646,20.2698885557782,14.3364828294496
"118",15.5541753046208,20.5329232785915,14.3339342887716
"119",15.7082511610762,20.6654555051552,14.2942149075793
"120",15.7145786399161,20.5732797970809,14.2176493174233
"121",15.5769592273882,20.5538998894582,14.2660025983172
"122",15.4568608114094,20.6572801427879,14.3414411786621
"123",15.56453314695,20.5457860547529,14.2700859730122
"124",15.9288789638441,20.4643694477551,14.1104379210607
"125",16.2712984122372,20.5095106116798,14.013165774999
"126",16.3115470441577,20.5173151490878,14.0930104901247
"127",15.9331986986383,20.3604032121398,14.2436868030145
"128",15.369068976898,19.9915384329266,14.2847224988568
"129",15.0483637927312,20.0021211096059,14.3256293462668
"130",15.07855407374,20.3399209202037,14.4673312045217
"131",15.2979167915321,20.6288452228308,14.4754817854686
"132",15.5616383974611,20.6156981683457,14.3651797479636
"133",15.778219104924,20.445266897261,14.3730217885657
"134",15.88472325422,20.5309511074169,14.4140843153999
"135",15.9000977027547,20.7383399920533,14.4415590937652
"136",15.7895148139775,20.7359054286903,14.3781818317648
"137",15.6423211080851,20.6706686509598,14.0634648698796
"138",15.6199586542925,20.6976536007244,13.8246188528972
"139",15.6451460573351,20.6923468482637,13.9022993081455
"140",15.7314885028593,20.5632738793867,14.083859166981
"141",15.8755230907555,20.5276966035956,14.2573661126852
"142",15.9423689573401,20.6152425391167,14.4217636402948
"143",15.8644659699118,20.5323741193555,14.4846777772654
"144",15.7135675005234,20.1859280328769,14.3452622467971
"145",15.6065121550352,20.0062472826285,14.1507084033028
"146",15.6072070146739,20.2196902629127,14.1592406147429
"147",15.5831165263199,20.307310912618,14.3295463896919
"148",15.4425149194073,20.3208186053051,14.481174704501
"149",15.3300270273964,20.3584296054475,14.4623078076823
"150",15.4093402318742,20.4612965158925,14.2770872738094
"151",15.6559264803366,20.5721590302425,14.0945327976938
"152",15.8917292308966,20.3965205408293,14.0335470079763
"153",15.9960069046784,20.0939892608226,14.1342353131734
"154",15.9730748886819,20.0923699449998,14.2769894734699
"155",15.8451804303058,20.4818911050334,14.2591961139209
"156",15.6912978391071,20.7946909156611,14.1127365633741
"157",15.5740830112831,20.9040343041962,14.0146039971157
"158",15.5358002202405,20.8126082742364,14.0767066275298
"159",15.6746774079501,20.6841420261892,14.321278193111
"160",15.892275155903,20.5754132935185,14.551452600719
"161",16.01151398159,20.424167517877,14.4900511333856
"162",15.8929481889803,20.2886296464183,14.244148218735
"163",15.6133099090836,20.2996020696406,14.120119471972
"164",15.4192743579821,20.4249491148696,14.1637355731209
"165",15.3848959986442,20.6421877782032,14.2842744124796
"166",15.5380970033683,20.6425605696568,14.3286634486119
"167",15.7217615209346,20.3606729156509,14.2738881019782
"168",15.7803591452539,20.149743910107,14.2729279863396
"169",15.757653160185,20.2700196080608,14.4010310387778
"170",15.7263551301848,20.6243021163202,14.6099738844409
"171",15.6664928585431,20.870449624938,14.7036670427056
"172",15.5792053168798,20.8928162651474,14.4786858158336
"173",15.5765368144583,20.558461819205,14.121370351747
"174",15.6576548258562,20.1040559691704,13.9510151974618
"175",15.6918730684813,19.972792327153,14.0280366120275
